misspelt	misspelled
karpz	yolo
lolz	lol
sluzza	slut
quest-quest	question
rekt	wrecked
simples	sheeple
infinigger	nigger
pidgeydoo	beautiful
thun	ecstasy
mods	moderators
breeks	trousers
absotootely	absolutely
shitglish	engrish
competetive	competitive
doctator	doctor
fluffalo	buffalo
heshtag	hashtag
nokian	trojan
friendly	slutty
journie	lesbian
samoosa	milf
bussom	bosom
ragtish	bullshitderives
confuzzled	confused
pungkin	pumpkin
gelling	masturbating
gimp	loser
tavernise	epic
costingtons	costco
pud	pretty
religion	christianity
woonji	fail
pappy	poo
booshwah	bourgeois
neh	no
faebook	facebook
muin	sex
trash	crap
eltse	else
poopie	poop
ture	true
nehmind	nevermind
q	cute
snorture	snore
brimbo	brilliant
hexxic	heck
tard	retard
nal	butt-sex
yepperdedooda	yea
antagestic	enthusiastic
dart	cigarette
hoefully	hopefully
rekt	wrecked
knauks	knocks
rambam	fucking
chyvin	fuck
peachy	awsome
danks	thanks
halp	help
trik	trick
manch	semen
breadstick	asshole
bruh	yes
wah	what
swurtle	turtle
rendel	hot
manbirth	ejaculation
aired	exposed
prolonged-soon	eventually
binch	bitch
satchin	faggot
c0ckz	cocks
phat	fat
ruveshan	awesome
dep	depressed
confuzzled	confused
rataj	asshole
batootay	booty
neh	no
conya	shit
botch	bitch
pron	pron
kunsty	artsy
papolla	vagina
cremple	creampie
broney	brony
dablu	w
cutiest	cutest
presh	precious
fadge	fudge
lurffles	love
shite	the
yuperdoodles	yes
munkin	munchkin
biscuit	sidechick
chid	dunce
cuchy	vagina
zomg	omg
pless	please
babagurl	babygirl
staq	someone
rekt	wrecked
tokie	tokyo
fye	fire
dabio	fabio
bootychatter	bullshit
ralph	vomiting
niece	nic
doucheterstrudel	douchebag
qwack	quack
plesh	pleasure
parfie	vagina
lml	lol
kanuch	shutup
jynxed	someone
foofty	dumbass
hergerderburger	shit
fo	for
happiness	rice
kuwal	ebb
hai	hi
toshbia	toshiba
dänk	dank
m9	m8
plate	lit
yursh	yes
foof	fart
kap	kappa
nundo	none
beauchene	faggot
weedesboro	swedesboro
sus	suspect
kripparrian	salty
cuck	cuckold
mama	mom
frickle	fuck
cookie	vagina
rekasekaneka	hello
inseminator	penis
appleagize	apologize
doo	dude
nut	cumming
cuck	cuckold
triggered	angry
corridor	hallway
fat	faizal
clem	clementine
heyo	hello
yepity	yep
bratchet	gun
guh	girl
telac	nincompoop
welp	well
mistyester.	dick
shmisses	kisses
balz	darn
beh	bitch
earl	early
lit	something
ger	nigger
obvi	obvious
quoke	quaked
haboob	dust
woall	wall
lolz	lol
epyc	epic
rally	riots
katusa	vagina
zilted	exausted
gassa	weed
nardo	nerd
rectumfrier	rectifier
yuppa	yes
wutvr	whatever
iggin	ignoring
bish	annoying
kuleee	babe
rekt	wrecked
kun	cunt
rattled	shook
ker	care
hai	hi
plebo	pleb
dis	this
cherub	cunt
ugaf	ugly
yeet	yes
cerk	penis
neigroied	nigga
purt	put
shoy	sure
gunket	sperm
cunke	cunt
neee	no
qwirkle	hoe
bushalaga	bullshit
cohlerk	mlg
puttre	babes
fageeto	faggot
vagenie	vagina
cun	cunt
fohonk	m*fkr
fraser	fukboi
miscrete	deserted
butthea	butthead
okayee	okay
wetarp	retard
stonch	bash
bouncy	cool
sopheari	disappointment
nikola	shocking
manzinem	guy
shazified	excitement
phooney	funnypronounced
monsteh	monster
bampp	bam
gsh	cringe
essaging	fucking
cun	cunt
cun	cunt
fucj	fuck
zalfa	whore
moula	money
lusting	hoeing
sekses	success
kninky	kinky
barbie	barbecue
samman	summon
meats	breasts
shuckydern	shit
snoozed	bored
dablu	w
cump	companion
ture	true
spaghet	spaghetti
mugiwara	strawhat
charlie	cocaine
eskitit	excited
wah	what
steadi	disgusting
bekfest	breakfast
schnoz	nose
yaated	yeet
polyship	haremship
thiccth	that
hai	hi
breckoned	beautiful
vetti	veteran
con	sham
sahan	electronic
wot	wut
baba	poo
savage	burn
coldiene	lean
tupper	tulpa
kampuj	confused
mcspliffin	mvp
starboy	gay
quan	mom
longy	long-cock
unwet	dry
motorscoot	yes
bubdee	buddy
rax	steal
ochea	ok
elad	faggot
overhealthy	fat
melatonedog	melatonin
octocunt	cunt
jirol	jiral
henlo	hello
pusc	pussy
wombass	dumbass
maffin	muffin
bret	bro
nijga	nigger
protectia	protection
oe	outchere
famista	fam
cat	pussy
micreotic	stupid
shtuff	stuff
poggers	stupid
shoite	shite
taders	potato
balulu	bitch
deedoh	dog
neggir	nigger
calender	calendar
fubbernuck	fuck
munty	money
blayzin	good
mans	boyfriend
whow	wow
rearry	really
ablau	ablau
ablau	ablau
aborigene	aboriginal
betause	because
dunk	drunk
bub	baby
punani	vagina
yauce	toss
akay	okay
nigha	nigga
yellur	yellow
azy	nigger
tomtord	tomfoolery
iutub	youtube
pogger	nigger
miencraf	minecraft
indubdiously	certainly
dick	balls
yeet	yes
kaibree	magical
